2017-10-14 17:30:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-14 17:30:01 |  | resendEmails | action | Resending Emails
2017-10-14 17:30:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-14 17:30:13 |  | calculateDuration | action | Calculating Duration
2017-10-14 17:30:13 |  | executeEvents | action | Executing Events , 2017-10-14 17:30:01 
2017-10-14 17:30:13 |  | updateCaseLabels | action | Update case labels
2017-10-14 17:30:13 |  | unassignedCase | action | Unassigned case
2017-10-14 17:45:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-14 17:45:01 |  | resendEmails | action | Resending Emails
2017-10-14 17:45:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-14 17:45:13 |  | calculateDuration | action | Calculating Duration
2017-10-14 17:45:13 |  | executeEvents | action | Executing Events , 2017-10-14 17:45:01 
2017-10-14 17:45:13 |  | updateCaseLabels | action | Update case labels
2017-10-14 17:45:13 |  | unassignedCase | action | Unassigned case
2017-10-14 18:00:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-14 18:00:01 |  | resendEmails | action | Resending Emails
2017-10-14 18:00:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-14 18:00:12 |  | calculateDuration | action | Calculating Duration
2017-10-14 18:00:12 |  | executeEvents | action | Executing Events , 2017-10-14 18:00:01 
2017-10-14 18:00:12 |  | updateCaseLabels | action | Update case labels
2017-10-14 18:00:12 |  | unassignedCase | action | Unassigned case
2017-10-14 18:15:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-14 18:15:01 |  | resendEmails | action | Resending Emails
2017-10-14 18:15:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-14 18:15:12 |  | calculateDuration | action | Calculating Duration
2017-10-14 18:15:12 |  | executeEvents | action | Executing Events , 2017-10-14 18:15:01 
2017-10-14 18:15:12 |  | updateCaseLabels | action | Update case labels
2017-10-14 18:15:12 |  | unassignedCase | action | Unassigned case
2017-10-14 18:30:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-14 18:30:01 |  | resendEmails | action | Resending Emails
